num,ID,Sample,Species,origin,lat,long,pop,region
72,6136C1,1_9H,Calamagrostis stricta ssp inexpansa,Wild,66.29205,-128.62532,"Fort Good Hope, NT; FGH- HARE INDIAN RIVPA",FH
73,20MB1C,1_10A,Calamagrostis canadensis,Commercial,,,20MB1C,MB1
74,7MB1C,1_10B,Calamagrostis canadensis,Commercial,,,7MB1C,MB1
75,11UNC,1_10C,Calamagrostis canadensis,Commercial,,,11UNC,UN
76,6017C2,1_10D,Calamagrostis stricta ssp inexpansa,Wild,68.95812,-133.83787,"Mackenzie Delta/uplands, NT; Parson's Lake AKSL1- off slump",MD
77,8MNC,1_10E,Calamagrostis canadensis,Commercial,,,8MNC,MN
78,6136C2,1_10F,Calamagrostis stricta ssp inexpansa,Wild,66.29205,-128.62532,"Fort Good Hope, NT; FGH- HARE INDIAN RIVPA",FH
79,6PAC,1_10G,Calamagrostis canadensis,Commercial,,,6PAC,PA
80,24AKC,1_10H,Calamagrostis canadensis,Commercial,,,24AKC,AK
81,200712C1,1_11A,Calamagrostis canadensis,Wild,60.33197,-123.31073,"Liard, NT; LRDN2",LD
82,3UNC,1_11B,Calamagrostis canadensis,Commercial,,,3UNC,UN
83,14MB1C,1_11C,Calamagrostis canadensis,Commercial,,,14MB1C,MB1
84,200724C,1_11D,Calamagrostis stricta ssp inexpansa,Wild,60.06925,-122.99525,"Liard, NT; LRDMB15",LD
85,19MB1C,1_11E,Calamagrostis canadensis,Commercial,,,19MB1C,MB1
86,6202C1,1_11F,Calamagrostis stricta ssp inexpansa,Wild,62.66019,-115.30746,"Yellowknife, NT; YK-4",YK
87,1UTC,1_11G,Calamagrostis canadensis,Commercial,,,1UTC,UT
88,48MB2C,1_11H,Calamagrostis canadensis,Commercial,,,48MB2C,MB2
89,13UNC,1_12A,Calamagrostis canadensis,Commercial,,,13UNC,UN
90,200776C2,1_12B,Calamagrostis canadensis,Wild,61.26636,-113.58418,"Fort Resolution, NT; FR12",FR
91,6221C,1_12C,Calamagrostis sp,Wild,,,6221C,
92,200762C1,1_12D,Calamagrostis purpurascens,Wild,60.96264,-114.15333,"Fort Resolution, NT; FR8",FR
93,3COC,1_12E,Calamagrostis canadensis,Commercial,,,3COC,CO
94,6055C2,1_12F,Calamagrostis canadensis,Wild,69.18349,-134.84167,"Mackenzie Delta/uplands, NT; Unknown Slump 1",MD
95,6093C1,1_12G,Calamagrostis purpurascens,Wild,68.30271,-133.53157,"Inuvik, NT; Airport Lake Gravel Pit",IK
96,6190C,1_12H,Calamagrostis stricta ssp inexpansa,Wild,62.76939,-116.06536,"Behchokǫ̀, NT;",BE
97,1UNC,2_1A,Calamagrostis canadensis,Commercial,,,1UNC,UN
98,6088C3,2_1B,Calamagrostis stricta ssp inexpansa,Wild,68.51524,-133.65129,"Mackenzie Delta/uplands, NT; Noel Lake NLSL3",MD
99,6103C1,2_1C,Calamagrostis canadensis,Wild,67.85641,-133.66493,"Inuvik, NT; Lynx Creek south of town within an old burn site",IK
100,86UTC2,2_1D,Calamagrostis canadensis,Commercial,,,86UTC2,UT
101,4COC,2_1E,Calamagrostis canadensis,Commercial,,,4COC,CO
102,6136C3,2_1F,Calamagrostis stricta ssp inexpansa,Wild,66.29205,-128.62532,"Fort Good Hope, NT; FGH- HARE INDIAN RIVPA",FH
103,6024C,2_1G,Calamagrostis sp,Wild,,,6024C,
104,18AKC,2_1H,Calamagrostis canadensis,Commercial,,,18AKC,AK
105,3MB1C,2_2A,Calamagrostis canadensis,Commercial,,,3MB1C,MB1
106,1AKC,2_2B,Calamagrostis canadensis,Commercial,,,1AKC,AK
107,6009C1,2_2C,Calamagrostis stricta ssp inexpansa,Wild,68.95812,-133.83787,"Mackenzie Delta/uplands, NT; Parson's Lake AKSL1",MD
108,5031C2,2_2D,Calamagrostis sp,Wild,68.3623,-133.75005,"Inuvik, NT; Old Airport",IK
109,6028C2,2_2E,Calamagrostis stricta ssp inexpansa,Wild,68.95895,-133.83936,"Mackenzie Delta/uplands, NT; Parson's Lake AKSL4",MD
110,200762C2,2_2F,Calamagrostis purpurascens,Wild,60.96264,-114.15333,"Fort Resolution, NT; FR8",FR
111,7UTC,2_2G,Calamagrostis canadensis,Commercial,,,7UTC,UT
112,49MNC,2_2H,Calamagrostis canadensis,Commercial,,,49MNC,MN
113,6042C2,2_3A,Calamagrostis stricta ssp inexpansa,Wild,69.30779,-134.53667,"Mackenzie Delta/uplands, NT; Dennis Lake DLSL2",MD
114,6073C2,2_3B,Calamagrostis stricta ssp inexpansa,Wild,68.59259,-133.60715,"Mackenzie Delta/uplands, NT; Jimmy Lake JLSL3",MD
115,6065C1,2_3C,Calamagrostis stricta ssp inexpansa,Wild,68.9809,-133.83934,"Mackenzie Delta/uplands, NT; Adjacent to UNSL3- off slump",MD
116,6009C2,2_3D,Calamagrostis stricta ssp inexpansa,Wild,68.95812,-133.83787,"Mackenzie Delta/uplands, NT; Parson's Lake AKSL1",MD
117,16UNC,2_3E,Calamagrostis canadensis,Commercial,,,16UNC,UN
118,,2_3F,,,,,,
119,,2_3G,,,,,,
120,6080C3,2_3H,Calamagrostis canadensis,Wild,68.53817,-133.6562,"Mackenzie Delta/uplands, NT; Noel Lake NLSL2",MD
121,86UTC,2_4A,Calamagrostis canadensis,Commercial,,,86UTC,UT
122,6065C2,2_4B,Calamagrostis stricta ssp inexpansa,Wild,68.9809,-133.83934,"Mackenzie Delta/uplands, NT; Adjacent to UNSL3- off slump",MD
123,6103C2,2_4C,Calamagrostis canadensis,Wild,67.85641,-133.66493,"Inuvik, NT; Lynx Creek south of town within an old burn site",IK
124,6194C,2_4D,Calamagrostis purpurascens,Wild,62.67427,-116.16532,"Behchokǫ̀, NT;",BE
125,11MB2C,2_4E,Calamagrostis canadensis,Commercial,,,11MB2C,MB2
126,15UNC,2_4F,Calamagrostis canadensis,Commercial,,,15UNC,UN
127,6016C,2_4G,Calamagrostis sp,Wild,,,6016C,
128,14MNC,2_4H,Calamagrostis canadensis,Commercial,,,14MNC,MN
129,17AKC,2_5A,Calamagrostis canadensis,Commercial,,,17AKC,AK
130,6071C1,2_5B,Calamagrostis stricta ssp inexpansa,Wild,68.60849,-133.59048,"Mackenzie Delta/uplands, NT; Jimmy Lake JLSL2",MD
131,200735C1,2_5C,Calamagrostis canadensis,Wild,61.40034,-120.58364,"Jean Marie River, NT; JM2",JM
132,6093C2,2_5D,Calamagrostis purpurascens,Wild,68.30271,-133.53157,"Inuvik, NT; Airport Lake Gravel Pit",IK
133,,2_5E,,,,,,
134,9AKC,2_5F,Calamagrostis canadensis,Commercial,,,9AKC,AK
135,20078C2,2_5G,Calamagrostis canadensis,Wild,60.194525,-123.33792,"Liard, NT; LRDS1",LD
136,19MB2C,2_5H,Calamagrostis canadensis,Commercial,,,19MB2C,MB2
137,6116C1,2_6A,Calamagrostis stricta ssp inexpansa,Wild,,,"Inuvik, NT; Ski Trails",IK
